RID,紫外线,交通,路况,风寒,感冒,空气污染扩散,运动
104,弱,良好,干燥,无需防护,极易发,中,适宜
105,最弱,较好,潮湿,无需防护,易发,中,适宜
106,弱,较好,潮湿,无需防护,易发,中,不适宜
107,最弱,较好,潮湿,无需防护,极易发,良,适宜
108,最弱,较好,潮湿,无需防护,极易发,良,适宜
109,最弱,良好,干燥,无需防护,极易发,良,较适宜
110,最弱,较好,潮湿,无需防护,较易发,良,适宜
111,最弱,良好,干燥,无需防护,较易发,良,适宜
112,强,良好,干燥,无需防护,易发,良,不适宜
113,最弱,较好,潮湿,无需防护,较易发,良,适宜
114,最弱,良好,干燥,无需防护,较易发,良,不适宜
115,最弱,较好,潮湿,凉,极易发,良,不适宜
116,最弱,较好,潮湿,无需防护,易发,良,不适宜
117,最弱,较好,潮湿,无需防护,易发,良,适宜
118,弱,较好,潮湿,无需防护,易发,良,适宜
119,最弱,良好,干燥,无需防护,较易发,良,不适宜
120,最弱,较好,潮湿,无需防护,较易发,良,适宜
121,最弱,较好,潮湿,无需防护,易发,良,适宜
122,最弱,良好,干燥,无需防护,较易发,良,适宜
123,弱,良好,干燥,凉,极易发,良,不适宜
124,最弱,较好,潮湿,无需防护,易发,中,适宜
125,最弱,较好,潮湿,无需防护,极易发,良,适宜
126,最弱,较好,潮湿,无需防护,可能,良,适宜
127,最弱,良好,干燥,无需防护,易发,良,适宜
128,最弱,较好,潮湿,无需防护,较易发,良,适宜
129,最弱,良好,干燥,无需防护,易发,中,适宜
130,弱,较好,潮湿,无需防护,较易发,中,适宜
131,最弱,较好,潮湿,无需防护,可能,中,适宜
132,弱,较好,潮湿,无需防护,极易发,中,适宜
133,最弱,较好,潮湿,无需防护,极易发,良,适宜
134,弱,较好,潮湿,无需防护,易发,中,不适宜
135,最弱,较好,潮湿,凉,易发,良,适宜
136,最弱,较好,潮湿,无需防护,易发,良,适宜
137,最弱,较好,潮湿,无需防护,易发,中,适宜
138,最弱,较好,潮湿,无需防护,易发,良,不适宜
139,最弱,较好,潮湿,无需防护,易发,良,适宜
140,最弱,良好,干燥,无需防护,易发,良,适宜
141,最弱,较好,潮湿,无需防护,极易发,良,不适宜
142,最弱,较好,潮湿,无需防护,较易发,良,适宜
143,最弱,较好,潮湿,无需防护,易发,良,不适宜
144,最弱,较好,潮湿,无需防护,易发,中,不适宜
145,中等,良好,干燥,无需防护,较易发,中,较适宜
146,弱,较好,潮湿,无需防护,较易发,良,适宜
147,最弱,较好,潮湿,无需防护,易发,良,适宜
148,最弱,较好,潮湿,无需防护,易发,良,适宜
149,最弱,较好,潮湿,无需防护,易发,良,适宜
150,最弱,较好,潮湿,无需防护,易发,良,适宜
151,强,良好,干燥,无需防护,极易发,良,不适宜
152,中等,良好,干燥,冷,极易发,中,不适宜
153,强,良好,干燥,凉,极易发,中,不适宜
154,弱,较好,潮湿,无需防护,较易发,良,适宜
155,强,良好,干燥,凉,极易发,良,不适宜
156,弱,较好,潮湿,无需防护,极易发,良,适宜
157,弱,良好,干燥,凉,易发,良,较适宜
158,弱,较好,潮湿,无需防护,极易发,良,适宜
159,最弱,较好,潮湿,无需防护,易发,良,适宜
160,最弱,良好,干燥,无需防护,易发,良,适宜
161,最弱,较好,潮湿,无需防护,较易发,良,适宜
162,弱,较好,潮湿,无需防护,易发,良,不适宜
163,最弱,较好,潮湿,无需防护,易发,良,适宜
164,最弱,较好,潮湿,无需防护,易发,良,适宜
165,弱,较好,潮湿,无需防护,易发,良,适宜
166,最弱,较好,潮湿,无需防护,较易发,良,适宜
167,最弱,良好,干燥,无需防护,极易发,良,适宜
168,弱,较好,潮湿,无需防护,极易发,良,适宜
169,最弱,较好,潮湿,无需防护,易发,中,适宜
170,最弱,较好,潮湿,无需防护,较易发,良,适宜
171,最弱,较好,潮湿,无需防护,较易发,良,适宜
172,最弱,较好,潮湿,无需防护,极易发,良,不适宜
173,最弱,较好,潮湿,无需防护,极易发,良,适宜
174,最弱,较好,潮湿,无需防护,易发,中,适宜
175,弱,较好,潮湿,无需防护,较易发,中,适宜
176,最弱,较好,潮湿,无需防护,易发,中,适宜
177,强,良好,干燥,无需防护,极易发,中,不适宜
178,最弱,较好,潮湿,无需防护,极易发,良,较适宜
179,最弱,较好,潮湿,无需防护,易发,中,适宜
180,最弱,较好,潮湿,无需防护,易发,良,适宜
181,最弱,较好,潮湿,无需防护,易发,良,适宜
182,最弱,较好,潮湿,无需防护,可能,中,适宜
183,最弱,较好,潮湿,无需防护,易发,良,适宜
184,中等,良好,干燥,无需防护,较易发,良,较适宜
185,强,良好,干燥,无需防护,极易发,良,不适宜
186,最弱,良好,干燥,凉,极易发,良,不适宜
187,最弱,较好,潮湿,无需防护,较易发,良,适宜
188,弱,较好,潮湿,无需防护,极易发,良,适宜
189,最弱,较好,潮湿,无需防护,极易发,中,适宜
190,最弱,较好,潮湿,无需防护,极易发,中,适宜
